"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
306,"New online application received","2017-03-17T00:29:23.655+09:00","normal",1,-1,0,0,"893",210,0.468958836405006,0,0,0,0,1.01791739463806
210,"Check for completeness","2017-03-17T00:32:19.441+09:00","normal",2,-1,0,1,"894",211,0.442069031473952,0,0,0,0,0.443785905838013
130,"Make decision","2017-03-17T00:33:09.125+09:00","normal",4,-1,0,0,"895",211,0.421053369275284,0,0,0,0,0.438085079193115
307,"New online application received","2017-03-17T00:34:27.827+09:00","normal",1,-1,0,0,"896",211,0.468975349136611,0,0,0,0,0.42347526550293
68,"Deliver card","2017-03-17T00:35:22.292+09:00","Early",6,2,1,0,"897",211,0.367775338691093,0,0,0,0,0.426651954650879
68,"EVENT 13 END","2017-03-17T00:35:22.292+09:00","Early",7,2,1,0,"898",211,0.42845445645965,0,0,0,0,0.42387580871582
211,"Check for completeness","2017-03-17T00:36:16.983+09:00","normal",2,-1,0,1,"899",212,0.441806522513104,0,0,0,0,0.428093671798706
308,"New online application received","2017-03-17T00:42:45.210+09:00","normal",1,-1,0,0,"900",212,0.468991795007722,0,0,0,0,0.424540519714355
309,"New online application received","2017-03-17T00:43:13.435+09:00","normal",1,-1,0,0,"901",212,0.469008174496797,0,0,0,0,0.42483377456665
310,"New online application received","2017-03-17T00:45:14.356+09:00","normal",1,-1,0,0,"902",212,0.469024488077417,0,0,0,0,0.432922124862671
212,"Check for completeness","2017-03-17T00:46:09.466+09:00","normal",2,-1,0,1,"903",213,0.442475044013487,0,0,0,0,0.428431034088135
311,"New online application received","2017-03-17T00:50:13.923+09:00","normal",1,-1,0,0,"904",213,0.469040736218361,0,0,0,0,0.427830457687378
214,"Check for completeness","2017-03-17T00:53:21.158+09:00","normal",2,-1,0,1,"905",214,0.441282853232017,0,0,0,0,0.424993515014648
312,"New online application received","2017-03-17T00:53:56.302+09:00","normal",1,-1,0,0,"906",214,0.469056919383658,0,0,0,0,0.424561023712158
313,"New online application received","2017-03-17T00:59:56.380+09:00","normal",1,-1,0,0,"907",214,0.469073038032655,0,0,0,0,0.427886247634888
138,"Perform checks","2017-03-17T01:03:44.503+09:00","normal",3,-1,0,0,"908",214,0.440414216561691,0,0,0,0,0.426680326461792
