"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
3883,6,"2010-03-17T18:09:00.000+09:00","normal",4,-1,0,0,"380",101,0.205492783896696,0,0,0,0,0.351094961166382
90,6,"2010-03-17T18:49:00.000+09:00","normal",3,-1,0,0,"381",101,0.0196078431372549,0,0,0,0,0.0700342655181885
3168,6,"2010-03-17T19:05:00.000+09:00","normal",3,-1,0,0,"382",101,0.0192307692307692,0,0,0,0,0.0341672897338867
2502,6,"2010-03-17T20:10:00.000+09:00","normal",3,-1,0,0,"383",101,0.0188679245283019,0,0,0,0,0.0331130027770996
3203,1,"2010-03-17T22:26:00.000+09:00","normal",1,-1,0,0,"384",101,0.01,0,0,0,0,0.0325000286102295
2619,1,"2010-03-17T22:29:00.000+09:00","normal",1,-1,0,0,"385",101,0.0099009900990099,0,0,0,0,0.0342569351196289
2619,8,"2010-03-17T22:29:00.000+09:00","normal",2,-1,0,1,"386",102,0.0138888888888889,0,0,0,0,0.0333068370819092
92,6,"2010-03-18T18:27:00.000+09:00","normal",3,-1,0,0,"387",102,0.0185185185185185,0,0,0,0,0.0409653186798096
2619,9,"2010-03-18T20:18:00.000+09:00","normal",3,-1,0,0,"388",102,0.116079824469752,0,0,0,0,0.031510591506958
2874,1,"2010-03-18T20:38:00.000+09:00","normal",1,-1,0,0,"389",102,0.0099009900990099,0,0,0,0,0.0340254306793213
1527,1,"2010-03-18T20:41:00.000+09:00","normal",1,-1,0,0,"390",102,0.00980392156862745,0,0,0,0,0.0291714668273926
1527,1,"2010-03-18T20:41:00.000+09:00","normal",2,-1,0,1,"391",103,0.0476190476190476,0,0,0,0,0.0360174179077148
1527,8,"2010-03-18T20:42:00.000+09:00","normal",3,-1,0,0,"392",103,0.0553691275167785,0,0,0,0,0.0359563827514648
1527,6,"2010-03-18T20:42:00.000+09:00","normal",4,-1,0,0,"393",103,0.0689013643188198,0,0,0,0,0.0350847244262695
2874,8,"2010-03-18T20:53:00.000+09:00","normal",2,-1,0,1,"394",104,0.0138888888888889,0,0,0,0,0.0316479206085205
2874,6,"2010-03-18T22:37:00.000+09:00","normal",3,-1,0,0,"395",104,0.0185185185185185,0,0,0,0,0.0427565574645996
3849,8,"2010-03-19T17:41:00.000+09:00","normal",2,-1,0,1,"396",105,0.0136986301369863,0,0,0,0,0.0331282615661621
3849,6,"2010-03-19T17:41:00.000+09:00","normal",3,-1,0,0,"397",105,0.0181818181818182,0,0,0,0,0.0324339866638184
10,8,"2010-03-19T17:47:00.000+09:00","normal",2,-1,0,1,"398",106,0.0136986301369863,0,0,0,0,0.0302467346191406
10,6,"2010-03-19T17:47:00.000+09:00","normal",3,-1,0,0,"399",106,0.0181818181818182,0,0,0,0,0.0289931297302246
3849,6,"2010-03-19T17:51:00.000+09:00","normal",4,-1,0,0,"400",106,0.35880538418396,0,0,0,0,0.0292325019836426
3187,8,"2010-03-19T20:09:00.000+09:00","normal",3,-1,0,0,"401",106,0.0569154527706863,0,0,0,0,0.0292627811431885
3187,6,"2010-03-19T20:09:00.000+09:00","normal",4,-1,0,0,"402",106,0.0705069725009774,0,0,0,0,0.029402494430542
3187,6,"2010-03-19T20:10:00.000+09:00","normal",5,-1,0,0,"403",106,0.999999999999998,0,0,0,1,0.0308322906494141
4168,8,"2010-03-19T20:43:00.000+09:00","Early",1,1,1,0,"404",106,0.333333333333333,0,0,0,1,0.034956693649292
4168,1,"2010-03-19T20:43:00.000+09:00","Early",2,1,1,1,"405",107,1,0,0,0,1,0.0326094627380371
4168,6,"2010-03-19T20:50:00.000+09:00","Early",3,1,1,0,"406",107,1,0,0,0,1,0.0312840938568115
2395,1,"2010-03-19T20:56:00.000+09:00","normal",1,-1,0,0,"407",107,0.0102040816326531,0,0,0,0,0.0307450294494629
2410,1,"2010-03-19T21:00:00.000+09:00","normal",1,-1,0,0,"408",107,0.0101010101010101,0,0,0,0,0.0289146900177002
2377,1,"2010-03-19T23:44:00.000+09:00","normal",1,-1,0,0,"409",107,0.01,0,0,0,0,0.0286214351654053
4336,1,"2010-03-19T23:50:00.000+09:00","normal",1,-1,0,0,"410",107,0.0099009900990099,0,0,0,0,0.0289251804351807
1469,1,"2010-03-20T00:07:00.000+09:00","Rework",1,3,0,0,"411",107,0.00980392156862745,0,0,0,0,0.0294058322906494
1469,1,"2010-03-20T00:07:00.000+09:00","Rework",3,3,1,1,"412",108,0.05,0,0,0,0,0.0316083431243896
2771,8,"2010-03-20T00:10:00.000+09:00","Rework",2,4,0,0,"413",108,0.0544840887174542,0,0,0,0,0.0333240032196045
2771,8,"2010-03-20T00:10:00.000+09:00","Rework",5,4,1,0,"414",108,0.294820717131474,0,0,0,0,0.0287868976593018
1472,1,"2010-03-20T00:24:00.000+09:00","normal",1,-1,0,0,"415",108,0.00980392156862745,0,0,0,0,0.0337564945220947
609,1,"2010-03-20T00:46:00.000+09:00","normal",1,-1,0,0,"416",108,0.00970873786407767,0,0,0,0,0.0354123115539551
609,1,"2010-03-20T00:46:00.000+09:00","normal",2,-1,0,1,"417",109,0.0476190476190477,0,0,0,0,0.0372095108032227
609,8,"2010-03-20T00:47:00.000+09:00","normal",3,-1,0,0,"418",109,0.0516689529035208,0,0,0,0,0.0303885936737061
3746,1,"2010-03-22T19:55:00.000+09:00","normal",1,-1,0,0,"419",109,0.00970873786407767,0,0,0,0,0.0401523113250732
2771,6,"2010-03-22T23:30:00.000+09:00","Rework",3,4,0,0,"420",109,0.407407407407407,0,0,0,0,0.0303812026977539
2771,6,"2010-03-22T23:30:00.000+09:00","Rework",6,4,1,0,"421",109,0.428571428571429,0,0,0,0,0.0310993194580078
2395,8,"2010-03-22T23:33:00.000+09:00","normal",2,-1,0,1,"422",110,0.0142857142857143,0,0,0,0,0.0320258140563965
2395,6,"2010-03-22T23:33:00.000+09:00","normal",3,-1,0,0,"423",110,0.0188679245283019,0,0,0,0,0.029973030090332
1472,8,"2010-03-22T23:43:00.000+09:00","normal",2,-1,0,1,"424",111,0.0140845070422536,0,0,0,0,0.0307800769805908
1472,9,"2010-03-22T23:43:00.000+09:00","normal",3,-1,0,0,"425",111,0.106804478897502,0,0,0,0,0.029242992401123
1472,8,"2010-03-22T23:45:00.000+09:00","normal",4,-1,0,0,"426",111,0.147503285151117,0,0,0,0,0.0414125919342041
1472,9,"2010-03-22T23:45:00.000+09:00","normal",5,-1,0,0,"427",111,0.686046511627907,0,0,0,0,0.0335390567779541
3597,8,"2010-03-23T01:14:00.000+09:00","normal",2,-1,0,1,"428",112,0.0140845070422536,0,0,0,0,0.0328021049499512
2410,8,"2010-03-23T01:16:00.000+09:00","normal",2,-1,0,1,"429",113,0.0140845070422536,0,0,0,0,0.0315370559692383
899,6,"2010-03-23T01:18:00.000+09:00","normal",4,-1,0,0,"430",113,0.25,0,0,0,0,0.0305695533752441
899,8,"2010-03-23T01:18:00.000+09:00","normal",5,-1,0,0,"431",113,1,0,0,0,1,0.0309906005859375
899,2,"2010-03-23T01:18:00.000+09:00","normal",6,-1,0,0,"432",113,1,0,0,0,1,0.0297458171844482
899,6,"2010-03-23T01:22:00.000+09:00","normal",7,-1,0,0,"433",113,1,0,0,0,0,0.0301716327667236
401,1,"2010-03-23T01:51:00.000+09:00","normal",1,-1,0,0,"434",113,0.01,0,0,0,0,0.0382211208343506
2683,1,"2010-03-23T01:54:00.000+09:00","normal",1,-1,0,0,"435",113,0.0099009900990099,0,0,0,0,0.0297458171844482
259,1,"2010-03-23T17:10:00.000+09:00","normal",1,-1,0,0,"436",113,0.00980392156862745,0,0,0,0,0.0290582180023193
1245,8,"2010-03-23T17:27:00.000+09:00","normal",4,-1,0,0,"437",113,0.128542799885485,0,0,0,0,0.0321526527404785
1245,6,"2010-03-23T17:27:00.000+09:00","normal",5,-1,0,0,"438",113,0.148514851485149,0,0,0,0,0.0295941829681396
3545,9,"2010-03-23T17:30:00.000+09:00","normal",3,-1,0,0,"439",113,0.0964980544747081,0,0,0,0,0.0339915752410889
2683,8,"2010-03-23T18:04:00.000+09:00","normal",2,-1,0,1,"440",114,0.0140845070422536,0,0,0,0,0.0367679595947266
2683,6,"2010-03-23T18:04:00.000+09:00","normal",3,-1,0,0,"441",114,0.0196078431372549,0,0,0,0,0.0357873439788818
2815,1,"2010-03-23T19:56:00.000+09:00","normal",1,-1,0,0,"442",114,0.00980392156862745,0,0,0,0,0.029416561126709
3597,6,"2010-03-23T20:13:00.000+09:00","normal",3,-1,0,0,"443",114,0.0192307692307693,0,0,0,0,0.0307919979095459
2815,8,"2010-03-23T22:35:00.000+09:00","normal",2,-1,0,1,"444",115,0.0140845070422536,0,0,0,0,0.0321187973022461
2815,6,"2010-03-23T22:35:00.000+09:00","normal",3,-1,0,0,"445",115,0.0192307692307693,0,0,0,0,0.0309178829193115
3149,1,"2010-03-23T22:44:00.000+09:00","normal",1,-1,0,0,"446",115,0.00980392156862745,0,0,0,0,0.0292055606842041
3149,8,"2010-03-23T23:04:00.000+09:00","normal",2,-1,0,1,"447",116,0.013888888888889,0,0,0,0,0.0393838882446289
3149,6,"2010-03-23T23:04:00.000+09:00","normal",3,-1,0,0,"448",116,0.0188679245283019,0,0,0,0,0.0295922756195068
1245,8,"2010-03-23T23:37:00.000+09:00","normal",6,-1,0,0,"449",116,1,0,0,0,1,0.0298902988433838
1245,9,"2010-03-23T23:37:00.000+09:00","normal",7,-1,0,0,"450",116,1,0,0,0,0,0.0302765369415283
2072,3,"2010-03-24T00:08:00.000+09:00","normal",1,-1,0,0,"451",116,0.125,0,0,0,1,0.0336332321166992
2072,1,"2010-03-24T00:08:00.000+09:00","normal",2,-1,0,1,"452",117,0.125,0,0,0,0,0.0313901901245117
2072,8,"2010-03-24T00:08:00.000+09:00","normal",3,-1,0,0,"453",117,0.156848306332842,0,0,0,0,0.0393521785736084
2619,8,"2010-03-24T00:10:00.000+09:00","normal",4,-1,0,0,"454",117,0.119724770642202,0,0,0,0,0.0308842658996582
2619,6,"2010-03-24T00:10:00.000+09:00","normal",5,-1,0,0,"455",117,0.136363636363636,0,0,0,0,0.0296099185943604
2072,6,"2010-03-24T00:27:00.000+09:00","normal",4,-1,0,0,"456",117,0.186263531168346,0,0,0,0,0.02935791015625
2297,6,"2010-03-24T00:36:00.000+09:00","normal",4,-1,0,0,"457",117,0.157016991818754,0,0,0,0,0.0294923782348633
709,6,"2010-03-24T17:23:00.000+09:00","normal",5,-1,0,0,"458",117,0.5,0,0,0,0,0.0295405387878418
259,1,"2010-03-24T17:39:00.000+09:00","normal",2,-1,0,1,"459",118,0.0526315789473684,0,0,0,0,0.030665397644043
259,8,"2010-03-24T17:39:00.000+09:00","normal",3,-1,0,0,"460",118,0.0576036866359447,0,0,0,0,0.0439803600311279
3203,8,"2010-03-24T20:08:00.000+09:00","normal",2,-1,0,1,"461",119,0.0138888888888889,0,0,0,0,0.0309872627258301
216,1,"2010-03-24T20:14:00.000+09:00","normal",1,-1,0,0,"462",119,0.0101010101010101,0,0,0,0,0.0332493782043457
216,1,"2010-03-24T20:14:00.000+09:00","normal",2,-1,0,1,"463",120,0.0526315789473684,0,0,0,0,0.0369782447814941
216,8,"2010-03-24T20:14:00.000+09:00","normal",3,-1,0,0,"464",120,0.0576036866359447,0,0,0,0,0.0355761051177979
216,6,"2010-03-24T20:14:00.000+09:00","normal",4,-1,0,0,"465",120,0.0777851021753461,0,0,0,0,0.041081428527832
616,1,"2010-03-24T20:24:00.000+09:00","normal",1,-1,0,0,"466",120,0.0101010101010101,0,0,0,0,0.0305912494659424
616,8,"2010-03-24T20:24:00.000+09:00","normal",2,-1,0,1,"467",121,0.0140845070422536,0,0,0,0,0.0320820808410645
1245,8,"2010-03-24T20:28:00.000+09:00","normal",8,-1,0,0,"468",121,0,0,0,0,0,0.0335814952850342
1245,2,"2010-03-24T20:28:00.000+09:00","normal",9,-1,0,0,"469",121,0,0,0,0,0,0.0346579551696777
1907,8,"2010-03-24T22:39:00.000+09:00","normal",6,-1,0,0,"470",121,1,0,0,0,0,0.034498929977417
2804,1,"2010-03-25T00:02:00.000+09:00","normal",1,-1,0,0,"471",121,0.0101010101010101,0,0,0,0,0.0439496040344238
3041,1,"2010-03-25T00:12:00.000+09:00","normal",1,-1,0,0,"472",121,0.01,0,0,0,0,0.0339260101318359
4577,1,"2010-03-25T00:28:00.000+09:00","normal",1,-1,0,0,"473",121,0.0099009900990099,0,0,0,0,0.0341229438781738
3457,1,"2010-03-25T00:34:00.000+09:00","normal",1,-1,0,0,"474",121,0.00980392156862745,0,0,0,0,0.0387909412384033
3457,8,"2010-03-25T00:35:00.000+09:00","normal",2,-1,0,1,"475",122,0.0140845070422536,0,0,0,0,0.0359454154968262
4336,8,"2010-03-25T20:05:00.000+09:00","normal",2,-1,0,1,"476",123,0.0140845070422536,0,0,0,0,0.0454463958740234
2570,1,"2010-03-25T20:44:00.000+09:00","normal",1,-1,0,0,"477",123,0.0099009900990099,0,0,0,0,0.0347568988800049
2570,8,"2010-03-25T20:44:00.000+09:00","normal",2,-1,0,1,"478",124,0.0140845070422536,0,0,0,0,0.0356240272521973
2292,1,"2010-03-25T23:46:00.000+09:00","normal",1,-1,0,0,"479",124,0.0099009900990099,0,0,0,0,0.033193826675415
2292,8,"2010-03-25T23:51:00.000+09:00","normal",2,-1,0,1,"480",125,0.0140845070422536,0,0,0,0,0.0451009273529053
2292,9,"2010-03-26T00:00:00.000+09:00","normal",3,-1,0,0,"481",125,0.119518486672399,0,0,0,0,0.0335190296173096
273,1,"2010-03-26T00:16:00.000+09:00","normal",1,-1,0,0,"482",125,0.0099009900990099,0,0,0,0,0.0359041690826416
273,8,"2010-03-26T00:32:00.000+09:00","normal",2,-1,0,1,"483",126,0.0140845070422536,0,0,0,0,0.0354723930358887
273,6,"2010-03-26T02:10:00.000+09:00","normal",3,-1,0,0,"484",126,0.0192307692307692,0,0,0,0,0.0395956039428711
1770,3,"2010-03-26T19:20:00.000+09:00","normal",1,-1,0,0,"485",126,0.111111111111111,0,0,0,1,0.0495293140411377
3203,6,"2010-03-26T19:21:00.000+09:00","normal",3,-1,0,0,"486",126,0.0188679245283019,0,0,0,0,0.0381882190704346
2570,6,"2010-03-26T19:23:00.000+09:00","normal",3,-1,0,0,"487",126,0.0185185185185185,0,0,0,0,0.0359222888946533
1770,1,"2010-03-26T19:24:00.000+09:00","normal",2,-1,0,1,"488",127,0.111111111111111,0,0,0,0,0.0362699031829834
1770,8,"2010-03-26T19:25:00.000+09:00","normal",3,-1,0,0,"489",127,0.135637309550353,0,0,0,0,0.0459973812103271
1770,2,"2010-03-26T19:25:00.000+09:00","normal",4,-1,0,0,"490",127,1,0,0,0,1,0.0415961742401123
2106,3,"2010-03-26T22:30:00.000+09:00","normal",1,-1,0,0,"491",127,0.1,0,0,0,1,0.0343527793884277
2106,1,"2010-03-26T22:32:00.000+09:00","normal",2,-1,0,1,"492",128,0.1,0,0,0,0,0.034590482711792
2106,8,"2010-03-26T22:32:00.000+09:00","normal",3,-1,0,0,"493",128,0.119444444444445,0,0,0,0,0.0744979381561279
2106,6,"2010-03-26T22:50:00.000+09:00","normal",4,-1,0,0,"494",128,0.135795907520595,0,0,0,0,0.0377089977264404
4336,9,"2010-03-26T23:22:00.000+09:00","normal",3,-1,0,0,"495",128,0.106699751861042,0,0,0,0,0.0344431400299072
1907,6,"2010-03-27T02:42:00.000+09:00","normal",7,-1,0,0,"496",128,1,0,0,0,0,0.0344367027282715
3746,8,"2010-03-29T16:42:00.000+09:00","normal",2,-1,0,1,"497",129,0.0142857142857143,0,0,0,0,0.036858081817627
