"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","w-leverage","t1","t2","t3","tn","w-tn","time"
306,"New online application received","2017-03-17T00:29:23.655+09:00","normal",1,-1,0,0,"893",101,0.0105263157894737,0.0105263157894737,0,0,0,0,0,0.146437644958496
210,"Check for completeness","2017-03-17T00:32:19.441+09:00","normal",2,-1,0,1,"894",102,0.0135135135135135,0.0135135135135135,0,0,0,0,0,0.100967645645142
130,"Make decision","2017-03-17T00:33:09.125+09:00","normal",4,-1,0,0,"895",102,0.0714285714285713,0.0714285714285713,0,0,0,0,0,0.0308403968811035
307,"New online application received","2017-03-17T00:34:27.827+09:00","normal",1,-1,0,0,"896",102,0.0105263157894737,0.0105263157894737,0,0,0,0,0,0.0250091552734375
211,"Check for completeness","2017-03-17T00:36:16.983+09:00","normal",2,-1,0,1,"899",103,0.0133333333333334,0.0133333333333334,0,0,0,0,0,0.0279250144958496
308,"New online application received","2017-03-17T00:42:45.210+09:00","normal",1,-1,0,0,"900",103,0.0105263157894737,0.0105263157894737,0,0,0,0,0,0.0374214649200439
309,"New online application received","2017-03-17T00:43:13.435+09:00","normal",1,-1,0,0,"901",103,0.0104166666666667,0.0104166666666667,0,0,0,0,0,0.0386338233947754
310,"New online application received","2017-03-17T00:45:14.356+09:00","normal",1,-1,0,0,"902",103,0.0103092783505155,0.0103092783505155,0,0,0,0,0,0.0289058685302734
212,"Check for completeness","2017-03-17T00:46:09.466+09:00","normal",2,-1,0,1,"903",104,0.0131578947368421,0.0131578947368421,0,0,0,0,0,0.0478172302246094
311,"New online application received","2017-03-17T00:50:13.923+09:00","normal",1,-1,0,0,"904",104,0.0103092783505155,0.0103092783505155,0,0,0,0,0,0.0289044380187988
214,"Check for completeness","2017-03-17T00:53:21.158+09:00","normal",2,-1,0,1,"905",105,0.012987012987013,0.012987012987013,0,0,0,0,0,0.0316343307495117
312,"New online application received","2017-03-17T00:53:56.302+09:00","normal",1,-1,0,0,"906",105,0.0103092783505155,0.0103092783505155,0,0,0,0,0,0.038362979888916
313,"New online application received","2017-03-17T00:59:56.380+09:00","normal",1,-1,0,0,"907",105,0.0102040816326531,0.0102040816326531,0,0,0,0,0,0.0279653072357178
138,"Perform checks","2017-03-17T01:03:44.503+09:00","normal",3,-1,0,0,"908",105,0.5,0.5,0,0,0,1,1,0.0384202003479004
213,"Check for completeness","2017-03-17T01:04:14.738+09:00","normal",2,-1,0,1,"909",106,0.0131578947368421,0.0131578947368421,0,0,0,0,0,0.0274820327758789
215,"Check for completeness","2017-03-17T01:05:44.748+09:00","normal",2,-1,0,1,"910",107,0.0131578947368421,0.0131578947368421,0,0,0,0,0,0.0302515029907227
314,"New online application received","2017-03-17T01:10:53.977+09:00","normal",1,-1,0,0,"912",107,0.0102040816326531,0.0102040816326531,0,0,0,0,0,0.044266939163208
140,"Perform checks","2017-03-17T01:13:38.238+09:00","normal",3,-1,0,0,"915",107,0.333333333333333,0.333333333333333,0,0,0,1,1,0.0318825244903564
315,"New online application received","2017-03-17T01:23:26.414+09:00","normal",1,-1,0,0,"916",107,0.0102040816326531,0.0102040816326531,0,0,0,0,0,0.0441515445709229
216,"Check for completeness","2017-03-17T01:29:06.991+09:00","normal",2,-1,0,1,"919",108,0.0133333333333333,0.0133333333333333,0,0,0,0,0,0.0814082622528076
316,"New online application received","2017-03-17T01:29:47.165+09:00","normal",1,-1,0,0,"920",108,0.0101010101010101,0.0101010101010101,0,0,0,0,0,0.0356297492980957
139,"Perform checks","2017-03-17T01:31:54.395+09:00","normal",3,-1,0,0,"921",108,0.333333333333333,0.333333333333333,0,0,0,1,1,0.0358285903930664
317,"New online application received","2017-03-17T01:32:11.501+09:00","normal",1,-1,0,0,"922",108,0.0101010101010101,0.0101010101010101,0,0,0,0,0,0.035452127456665
135,"Make decision","2017-03-17T01:34:42.486+09:00","normal",4,-1,0,0,"924",108,0.0769230769230769,0.0769230769230769,0,0,0,0,0,0.0413107872009277
318,"New online application received","2017-03-17T01:34:48.156+09:00","normal",1,-1,0,0,"925",108,0.01,0.01,0,0,0,0,0,0.0264995098114014
