"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
306,"New online application received","2017-03-17T00:29:23.655+09:00","normal",1,-1,0,0,"893",101,0.00510204081632653,0,0,0,0,0.299553394317627
210,"Check for completeness","2017-03-17T00:32:19.441+09:00","normal",2,-1,0,1,"894",102,0.01,0,0,0,0,0.100249290466309
130,"Make decision","2017-03-17T00:33:09.125+09:00","normal",4,-1,0,0,"895",102,0.0714285714285715,0,0,0,0,0.0390512943267822
307,"New online application received","2017-03-17T00:34:27.827+09:00","normal",1,-1,0,0,"896",102,0.00510204081632653,0,0,0,0,0.0448100566864014
211,"Check for completeness","2017-03-17T00:36:16.983+09:00","normal",2,-1,0,1,"899",103,0.01,0,0,0,0,0.0425467491149902
308,"New online application received","2017-03-17T00:42:45.210+09:00","normal",1,-1,0,0,"900",103,0.00510204081632653,0,0,0,0,0.0606868267059326
309,"New online application received","2017-03-17T00:43:13.435+09:00","normal",1,-1,0,0,"901",103,0.0050761421319797,0,0,0,0,0.0435700416564941
310,"New online application received","2017-03-17T00:45:14.356+09:00","normal",1,-1,0,0,"902",103,0.00505050505050505,0,0,0,0,0.0402381420135498
212,"Check for completeness","2017-03-17T00:46:09.466+09:00","normal",2,-1,0,1,"903",104,0.01,0,0,0,0,0.0396807193756104
311,"New online application received","2017-03-17T00:50:13.923+09:00","normal",1,-1,0,0,"904",104,0.00505050505050505,0,0,0,0,0.0526871681213379
214,"Check for completeness","2017-03-17T00:53:21.158+09:00","normal",2,-1,0,1,"905",105,0.01,0,0,0,0,0.0397136211395264
312,"New online application received","2017-03-17T00:53:56.302+09:00","normal",1,-1,0,0,"906",105,0.00505050505050505,0,0,0,0,0.0383548736572266
313,"New online application received","2017-03-17T00:59:56.380+09:00","normal",1,-1,0,0,"907",105,0.0050251256281407,0,0,0,0,0.0573663711547852
138,"Perform checks","2017-03-17T01:03:44.503+09:00","normal",3,-1,0,0,"908",105,0.0666666666666666,0,0,0,0,0.0455315113067627
213,"Check for completeness","2017-03-17T01:04:14.738+09:00","normal",2,-1,0,1,"909",106,0.01,0,0,0,0,0.0538685321807861
215,"Check for completeness","2017-03-17T01:05:44.748+09:00","normal",2,-1,0,1,"910",107,0.01,0,0,0,0,0.0550384521484375
314,"New online application received","2017-03-17T01:10:53.977+09:00","normal",1,-1,0,0,"912",107,0.00505050505050505,0,0,0,0,0.0408563613891602
140,"Perform checks","2017-03-17T01:13:38.238+09:00","normal",3,-1,0,0,"915",107,0.0714285714285714,0,0,0,0,0.0421576499938965
315,"New online application received","2017-03-17T01:23:26.414+09:00","normal",1,-1,0,0,"916",107,0.0050251256281407,0,0,0,0,0.0634765625
216,"Check for completeness","2017-03-17T01:29:06.991+09:00","normal",2,-1,0,1,"919",108,0.01,0,0,0,0,0.0434496402740479
316,"New online application received","2017-03-17T01:29:47.165+09:00","normal",1,-1,0,0,"920",108,0.0050251256281407,0,0,0,0,0.0587170124053955
139,"Perform checks","2017-03-17T01:31:54.395+09:00","normal",3,-1,0,0,"921",108,0.0666666666666667,0,0,0,0,0.0399649143218994
317,"New online application received","2017-03-17T01:32:11.501+09:00","normal",1,-1,0,0,"922",108,0.005,0,0,0,0,0.0827476978302002
135,"Make decision","2017-03-17T01:34:42.486+09:00","normal",4,-1,0,0,"924",108,0.0833333333333333,0,0,0,0,0.0394501686096191
318,"New online application received","2017-03-17T01:34:48.156+09:00","normal",1,-1,0,0,"925",108,0.00497512437810945,0,0,0,0,0.044764518737793
136,"Perform checks","2017-03-17T01:36:17.949+09:00","normal",3,-1,0,0,"928",108,0.0625,0,0,0,0,0.0424346923828125
138,"Make decision","2017-03-17T01:39:35.178+09:00","normal",4,-1,0,0,"929",108,0.076923076923077,0,0,0,0,0.0619101524353027
319,"New online application received","2017-03-17T01:41:57.128+09:00","Replace",1,5,0,0,"930",108,0.00495049504950495,0,0,0,0,0.0395278930664062
320,"New online application received","2017-03-17T01:43:27.333+09:00","normal",1,-1,0,0,"931",108,0.00492610837438424,0,0,0,0,0.0391907691955566
321,"New online application received","2017-03-17T01:44:57.193+09:00","normal",1,-1,0,0,"932",108,0.00490196078431373,0,0,0,0,0.0386307239532471
322,"New online application received","2017-03-17T01:46:06.466+09:00","normal",1,-1,0,0,"933",108,0.0048780487804878,0,0,0,0,0.0547053813934326
323,"New online application received","2017-03-17T01:53:22.033+09:00","normal",1,-1,0,0,"934",108,0.00485436893203883,0,0,0,0,0.0381608009338379
324,"New online application received","2017-03-17T01:53:50.507+09:00","normal",1,-1,0,0,"935",108,0.00483091787439614,0,0,0,0,0.0376856327056885
325,"New online application received","2017-03-17T01:55:20.464+09:00","normal",1,-1,0,0,"936",108,0.00480769230769231,0,0,0,0,0.0535573959350586
326,"New online application received","2017-03-17T01:55:31.171+09:00","normal",1,-1,0,0,"937",108,0.00478468899521531,0,0,0,0,0.0444459915161133
327,"New online application received","2017-03-17T01:57:40.923+09:00","normal",1,-1,0,0,"939",108,0.00476190476190476,0,0,0,0,0.0401768684387207
122,"info received","2017-03-17T12:31:37.011+09:00","normal",4,-1,0,0,"944",108,1,0,0,0,1,0.326703786849976
115,"info received","2017-03-17T15:23:14.298+09:00","normal",4,-1,0,0,"946",108,1,0,0,0,1,0.0498394966125488
116,"info received","2017-03-17T17:55:30.701+09:00","normal",4,-1,0,0,"948",108,0.5,0,0,0,1,0.0569262504577637
328,"New online application received","2017-03-17T18:00:52.005+09:00","normal",1,-1,0,0,"949",108,0.004739336492891,0,0,0,0,0.0442302227020264
140,"Make decision","2017-03-17T18:10:19.838+09:00","normal",4,-1,0,0,"954",108,0.0714285714285715,0,0,0,0,0.0650224685668945
329,"New online application received","2017-03-17T18:13:41.401+09:00","normal",1,-1,0,0,"956",108,0.00471698113207547,0,0,0,0,0.0469861030578613
142,"Perform checks","2017-03-17T18:23:29.464+09:00","normal",3,-1,0,0,"958",108,0.0588235294117647,0,0,0,0,0.0469272136688232
330,"New online application received","2017-03-17T18:26:14.482+09:00","normal",1,-1,0,0,"959",108,0.00469483568075117,0,0,0,0,0.0402708053588867
331,"New online application received","2017-03-17T18:28:16.068+09:00","normal",1,-1,0,0,"961",108,0.00467289719626168,0,0,0,0,0.049924373626709
141,"Perform checks","2017-03-17T18:31:04.699+09:00","normal",3,-1,0,0,"962",108,0.0555555555555556,0,0,0,0,0.037813663482666
332,"New online application received","2017-03-17T18:32:57.541+09:00","normal",1,-1,0,0,"964",108,0.00465116279069767,0,0,0,0,0.370469331741333
139,"Make decision","2017-03-17T18:37:40.677+09:00","normal",4,-1,0,0,"967",108,0.0666666666666667,0,0,0,0,0.0449962615966797
333,"New online application received","2017-03-17T18:37:42.241+09:00","normal",1,-1,0,0,"968",108,0.00462962962962963,0,0,0,0,0.0493593215942383
334,"New online application received","2017-03-17T18:38:52.063+09:00","normal",1,-1,0,0,"969",108,0.00460829493087558,0,0,0,0,0.0446257591247559
217,"Check for completeness","2017-03-17T18:39:58.736+09:00","normal",2,-1,0,1,"970",109,0.01,0,0,0,0,0.0500469207763672
146,"Perform checks","2017-03-17T18:43:35.441+09:00","normal",3,-1,0,0,"971",109,0.0555555555555556,0,0,0,0,0.0474295616149902
221,"Check for completeness","2017-03-17T18:43:41.980+09:00","Early",2,4,0,1,"972",110,0.01,0,0,0,0,0.0667836666107178
136,"Make decision","2017-03-17T18:45:21.272+09:00","normal",4,-1,0,0,"973",110,0.0666666666666667,0,0,0,0,0.0490400791168213
335,"New online application received","2017-03-17T18:49:31.871+09:00","normal",1,-1,0,0,"974",110,0.00462962962962963,0,0,0,0,0.043013334274292
220,"Check for completeness","2017-03-17T18:49:39.515+09:00","normal",2,-1,0,1,"975",111,0.01,0,0,0,0,0.0406818389892578
336,"New online application received","2017-03-17T18:50:44.013+09:00","normal",1,-1,0,0,"976",111,0.00462962962962963,0,0,0,0,0.0391509532928467
218,"Check for completeness","2017-03-17T18:51:25.458+09:00","normal",2,-1,0,1,"977",112,0.01,0,0,0,0,0.0405247211456299
219,"Check for completeness","2017-03-17T18:51:50.898+09:00","normal",2,-1,0,1,"978",113,0.01,0,0,0,0,0.0538852214813232
142,"Make decision","2017-03-17T18:56:23.053+09:00","normal",4,-1,0,0,"979",113,0.0666666666666667,0,0,0,0,0.0403280258178711
337,"New online application received","2017-03-17T18:57:53.693+09:00","normal",1,-1,0,0,"980",113,0.00465116279069767,0,0,0,0,0.0423624515533447
149,"Perform checks","2017-03-17T19:08:29.788+09:00","normal",3,-1,0,0,"982",113,0.0555555555555556,0,0,0,0,0.0411374568939209
338,"New online application received","2017-03-17T19:11:28.497+09:00","normal",1,-1,0,0,"983",113,0.00462962962962963,0,0,0,0,0.0451292991638184
223,"Check for completeness","2017-03-17T19:12:49.243+09:00","normal",2,-1,0,1,"984",114,0.01,0,0,0,0,0.0616726875305176
224,"Check for completeness","2017-03-17T19:18:14.856+09:00","normal",2,-1,0,1,"985",115,0.01,0,0,0,0,0.0520350933074951
339,"New online application received","2017-03-17T19:19:12.068+09:00","normal",1,-1,0,0,"988",115,0.00465116279069767,0,0,0,0,0.0453524589538574
141,"Make decision","2017-03-17T19:24:21.769+09:00","normal",4,-1,0,0,"991",115,0.0666666666666667,0,0,0,0,0.039226770401001
