"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
306,"New online application received","2017-03-17T00:29:23.655+09:00","normal",1,-1,0,0,"893",210,0,0,0,0,0,0.824295282363892
210,"Check for completeness","2017-03-17T00:32:19.441+09:00","normal",2,-1,0,1,"894",211,0,0,0,0,0,0.114991664886475
130,"Make decision","2017-03-17T00:33:09.125+09:00","normal",4,-1,0,0,"895",211,0,0,0,0,0,0.0790219306945801
307,"New online application received","2017-03-17T00:34:27.827+09:00","normal",1,-1,0,0,"896",211,0,0,0,0,0,0.0855660438537598
68,"Deliver card","2017-03-17T00:35:22.292+09:00","Early",6,2,1,0,"897",211,0,0,0,0,0,0.0926156044006348
68,"EVENT 13 END","2017-03-17T00:35:22.292+09:00","Early",7,2,1,0,"898",211,0,0,0,0,0,0.0883734226226807
211,"Check for completeness","2017-03-17T00:36:16.983+09:00","normal",2,-1,0,1,"899",212,0,0,0,0,0,0.0806815624237061
308,"New online application received","2017-03-17T00:42:45.210+09:00","normal",1,-1,0,0,"900",212,0,0,0,0,0,0.0901799201965332
309,"New online application received","2017-03-17T00:43:13.435+09:00","normal",1,-1,0,0,"901",212,0,0,0,0,0,0.0897562503814697
310,"New online application received","2017-03-17T00:45:14.356+09:00","normal",1,-1,0,0,"902",212,0,0,0,0,0,0.119360685348511
212,"Check for completeness","2017-03-17T00:46:09.466+09:00","normal",2,-1,0,1,"903",213,0,0,0,0,0,0.0830433368682861
311,"New online application received","2017-03-17T00:50:13.923+09:00","normal",1,-1,0,0,"904",213,0,0,0,0,0,0.0901851654052734
214,"Check for completeness","2017-03-17T00:53:21.158+09:00","normal",2,-1,0,1,"905",214,0,0,0,0,0,0.0810689926147461
312,"New online application received","2017-03-17T00:53:56.302+09:00","normal",1,-1,0,0,"906",214,0,0,0,0,0,0.0917949676513672
313,"New online application received","2017-03-17T00:59:56.380+09:00","normal",1,-1,0,0,"907",214,0,0,0,0,0,0.0810573101043701
138,"Perform checks","2017-03-17T01:03:44.503+09:00","normal",3,-1,0,0,"908",214,0,0,0,0,0,0.346673727035522
213,"Check for completeness","2017-03-17T01:04:14.738+09:00","normal",2,-1,0,1,"909",215,0,0,0,0,0,0.0808632373809814
215,"Check for completeness","2017-03-17T01:05:44.748+09:00","normal",2,-1,0,1,"910",216,0,0,0,0,0,0.0836260318756104
59,"info received","2017-03-17T01:08:10.441+09:00","normal",4,-1,0,0,"911",216,0,0,0,0,0,0.110683679580688
314,"New online application received","2017-03-17T01:10:53.977+09:00","normal",1,-1,0,0,"912",216,0,0,0,0,0,0.148401737213135
15,"time out","2017-03-17T01:13:22.292+09:00","normal",6,-1,0,0,"913",216,0,0,0,0,0,0.145228624343872
15,"EVENT 13 END","2017-03-17T01:13:22.292+09:00","normal",7,-1,0,0,"914",216,0,0,0,0,0,0.149796962738037
140,"Perform checks","2017-03-17T01:13:38.238+09:00","normal",3,-1,0,0,"915",216,1,0,0,0,0,0.198024749755859
315,"New online application received","2017-03-17T01:23:26.414+09:00","normal",1,-1,0,0,"916",216,0,0,0,0,0,0.164219856262207
12,"Check for completeness","2017-03-17T01:26:12.679+09:00","normal",5,-1,0,0,"917",216,0,0,0,0,0,0.123810768127441
0,"info received","2017-03-17T01:27:53.583+09:00","normal",4,-1,0,0,"918",216,0,0,0,0,0,0.140491485595703
216,"Check for completeness","2017-03-17T01:29:06.991+09:00","normal",2,-1,0,1,"919",217,0,0,0,0,0,0.147946119308472
316,"New online application received","2017-03-17T01:29:47.165+09:00","normal",1,-1,0,0,"920",217,0,0,0,0,0,0.149518013000488
139,"Perform checks","2017-03-17T01:31:54.395+09:00","normal",3,-1,0,0,"921",217,1,0,0,0,0,0.143275022506714
317,"New online application received","2017-03-17T01:32:11.501+09:00","normal",1,-1,0,0,"922",217,0,0,0,0,0,0.154747486114502
77,"Check for completeness","2017-03-17T01:33:42.317+09:00","normal",5,-1,0,0,"923",217,0,0,0,0,0,0.0906369686126709
135,"Make decision","2017-03-17T01:34:42.486+09:00","normal",4,-1,0,0,"924",217,0,0,0,0,0,0.232231140136719
