"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
3883,6,"2010-03-17T18:09:00.000+09:00","normal",4,-1,0,0,"380",105,0,0,0,0,0,0.224878787994385
90,6,"2010-03-17T18:49:00.000+09:00","normal",3,-1,0,0,"381",105,0,0,0,0,0,0.0544784069061279
3168,6,"2010-03-17T19:05:00.000+09:00","normal",3,-1,0,0,"382",105,0,0,0,0,0,0.0229334831237793
2502,6,"2010-03-17T20:10:00.000+09:00","normal",3,-1,0,0,"383",105,1,0,0,0,0,0.023350715637207
3203,1,"2010-03-17T22:26:00.000+09:00","normal",1,-1,0,0,"384",105,0,0,0,0,0,0.0220901966094971
2619,1,"2010-03-17T22:29:00.000+09:00","normal",1,-1,0,0,"385",105,0,0,0,0,0,0.0217690467834473
2619,8,"2010-03-17T22:29:00.000+09:00","normal",2,-1,0,1,"386",106,0,0,0,0,0,0.0276663303375244
92,6,"2010-03-18T18:27:00.000+09:00","normal",3,-1,0,0,"387",106,0,0,0,0,0,0.0211458206176758
2619,9,"2010-03-18T20:18:00.000+09:00","normal",3,-1,0,0,"388",106,0,0,0,0,0,0.0210986137390137
2874,1,"2010-03-18T20:38:00.000+09:00","normal",1,-1,0,0,"389",106,0,0,0,0,0,0.05767822265625
1527,1,"2010-03-18T20:41:00.000+09:00","normal",1,-1,0,0,"390",106,0,0,0,0,0,0.0203051567077637
1527,1,"2010-03-18T20:41:00.000+09:00","normal",2,-1,0,1,"391",107,1,0,0,0,0,0.0208840370178223
1527,8,"2010-03-18T20:42:00.000+09:00","normal",3,-1,0,0,"392",107,1,0,0,0,0,0.0218937397003174
1527,6,"2010-03-18T20:42:00.000+09:00","normal",4,-1,0,0,"393",107,0,0,0,0,0,0.0219032764434814
2874,8,"2010-03-18T20:53:00.000+09:00","normal",2,-1,0,1,"394",108,0,0,0,0,0,0.0282120704650879
2874,6,"2010-03-18T22:37:00.000+09:00","normal",3,-1,0,0,"395",108,0,0,0,0,0,0.0228371620178223
3849,8,"2010-03-19T17:41:00.000+09:00","normal",2,-1,0,1,"396",109,1,0,0,0,0,0.0224542617797852
3849,6,"2010-03-19T17:41:00.000+09:00","normal",3,-1,0,0,"397",109,1,0,0,0,0,0.0229220390319824
10,8,"2010-03-19T17:47:00.000+09:00","normal",2,-1,0,1,"398",110,0,0,0,0,0,0.0269825458526611
10,6,"2010-03-19T17:47:00.000+09:00","normal",3,-1,0,0,"399",110,1,0,0,0,0,0.0234367847442627
3849,6,"2010-03-19T17:51:00.000+09:00","normal",4,-1,0,0,"400",110,0,0,0,0,0,0.0219335556030273
3187,8,"2010-03-19T20:09:00.000+09:00","normal",3,-1,0,0,"401",110,0,0,0,0,0,0.0279526710510254
